Score,Summary,Text
5,The best cereal ever.,"I've had almost every type of cereal out there, and this is the best.  Take a delicious, perfect, organic raisin bran and add crunchy, lightly sweetened oat clusters lightly flavored with Organic Cardamom Seed, Organic Fennel Seed, Organic Fenugreek Seed, Organic Nutmeg.. what do you have?  Mouth-watering perfection. As a bonus, it happens to be healthy."
4,JDH59,THERE IS RISK IN LIFE'S CHOICES. I CHOSE STEVIA  LIME FLAVORED DRINK MIX BECAUUSE I WANTED A DRINK MIX THAT QUENTCHED MY THIRST.  THE LIME FLAVOR WAS A GOOD CHOICE.  I FOUND I COULD USE A WHOLE FLAVOR PACKET IN A QUART OF COLD WATER AND HAVE TWICE AS MUCH AND STILL HAVE A REFRESHING LIME FLAVOR AND NO CALORIES.  I'M PLANNING ON PURCHASING ANOTHER FLAVOR SOON
1,TOTALLY MISLEADING,"Totally misleading; where do i begin.<br /><br />It is not GOJI BERRY like the heading implies; rather, it is goji flavor. Furthermore; it has lots of other ingredients although the title leads you to believe otherwise.<br /><br />It has raspberry leaf, hibiscus, strawberry FLAVOR, licorice powder... a very complex blend in my opinion; considering they lead you to believe it is: GOJI BERRY, MATCHA and GREEN TEA.<br /><br />Goji berries are full of nutrients and antioxidants. WHAT THE HECK IS ""GOJI FLAVOR"" and why does the heading on the front of the teabag state it is goji berry when it is not?<br /><br />WAY TOO SWEET in addition. A true mislead and disappointment. Shame on them.<br /><br />How can they have the audacity to call the teabag 100% Natural Ingredients? What is goji flavor and strawberry flavor? Tastes terrible."
5,The closest thing to FRESH GOAT milk,"My poor baby was lactose intolerant and suffered from colics, so I had to give her that soy stuff I won't even touch. When she turned 12-mon/old and thanks to a friend I found Meyenberq... My toddler loves it and after some research I can't believe I didn't try it sooner.  I have also tried fresh from the farm goat milk. OMG!!! is hard to get in NJ but totally worth it. I can order it online from a source and boil it at home. Can't get fresher than that. Still love Meyernberq and use it when I need it.  It worked out great for our vacation to the caribbean last week!<br /><br />If you research store bought caw milk you will be disgusted at what you are drinking, specially the UHT stuff. Try raw milk. You can get it in Connecticut and NYC. Don't be scared about the bad publicity, that is just another way to use ""fear"" to manipulate consumers. Be cautious and informed. Visit farms, boil it at home, wash your hands. That's all it takes and if you are really comfortable, drink it raw! so many benefits you wouldn't even believe. ENJOY!"
5,Yum!,These are really great. You never know what to expect with gluten free products. You can't even tell it's gluten free. Thank you!
5,By far My Favorite Litter,"I'm not a fan of the UltraLast variety, but Arm & Hammer litter works really well, especially this version.  We have one cat but buy this litter almost exclusively.  We don't empty the litter all that often, so smell control is very important.  Our cat seems to like it and most guests seem surprised to find out we own a pet, so I count that as an A+ performance."
5,Good deal,"This is the largest bag I've seen, much bigger than what you can buy at Wal-Mart; it will last a long time. Go with the periodic shipment approach to save 15%. That price ends up being a really good deal."
5,Wonderful company!,I didn't realize it but my tea wasn't arriving as promptly as suggested. The company also noticed and sent a box out immediately! WOW! I was very impressed!
5,Hands down one of the best foods on the market today,"I have two Basenjis both of who are under breed weight/size and who have corn allergies. I cannot stress enough how awesome this food has been for them. Their appetites are up, they are putting on weight, they have more energy where their other food (which was also on the Top Ten Dog Foods List) made them sluggish and caused one to lick a hole in herself. This food has given me my girls back and I recommend it highly to anyone who has issues with small breeds with allergies. I could go on and on about the differences but honestly, buy a bag and try it. There is nothing I can say that you won't see for yourself."
5,Super Gravy is bowl lickin' good!,"Dakota licks the bowl now that we are adding Super Gravy to her kibbles.  Super gravy is like a flavorful ""au jus"" style gravy for your pet. Try it with your pet if you want to see the bowl licked clean.  Plus we save money since we no longer have to purchase canned dog food."
5,pill pockets for cats,"While I swear by this product and have ordered it several times, I did not find it well packed this time.  Usually it's come in a box, but this time the 6 packs were just jammed into a padded envelope so the actual pockets were smashed....still usable, just not in great shape.  I think the supplier should go back to using a box."
5,Delicious!,I've ordered this salmon for 5 or 6 times and I will conitue to order it! Every time it goes to my Girlfriend in Vladivostok! It arrives in good time and the queality is just great!
2,Just OK,"I have always seen this item in the coffee section of my local market so I assumed it was coffee based. After trying it several times it certainly tasted to me like a malty hot chocolate drink. The ingredient lists ""instant coffee"" and no chocolate so it is coffee after all - I was fooled.<br />  I found the taste overly sweet. The item could of used more of the bitterness of the coffee to tone down the sweetness. Nonetheless the item was a pleasant drink on a cold day but nothing out of the ordinary."
3,Unimpressed,"I use treats for obedience and agility classes.  I need a treat that is not crunchy, but chewy and capable of breaking up into small bits.  This product is easily broken up...too easily.  It reminds me of a thin layer of chocolate but does not melt as such. The selling point is the natural dehydration, rather than freeze dried.  I did not find it useful for my purpose."
5,Great tea,Great product. Used the tea for a mother- daughter holiday tea and it was a hit. Would order this tea again
4,"FINALLY, I FOUND IT","Looked and looked all over for this product in the form of cubes for several years now. Was always able to buy the cube form in the supermarkets until it was discontinued many years ago. I would add some of the fish bouillion cube when making fresh fish broth for fish soup, I would put a little bit of the cube when making white clam sauce and when making fish stews. The bouillion would add more flavor to whatever it was I was cooking. Making stew and clam sauce without the cubes, the flavor wasn't the same, definitely something missing. Because there was no fish cube bouillion to be had anywhere I stayed away from making any of these tasty dishes, knowing that the dishes  would not taste the same. One day I finally had enough, I wanted clam sauce, I decided I would look on Amazon and see if the product would be available there. Why would it, I looked on the Knorr website to see where I could purchase the product in my area, answer.....NO WHERE,  I've also gone to many international markets in and out of my area, and NOTHING. So I was not hopeful I would find it on Amazon. What I did find was the powder form in a large container. I didn't care how large the container,  I know it will last me forever so I will be giving some to family members. After receiving bouillion in the mail, I made white clam sauce with fresh littleneck clams and I couldn't have been happier to add a little of the fish bouillion powder mix to the clam sauce. The clam sauce is once again amazing in flavor, you know, that special little something! FAMILY AND I ARE HAPPY ONCE AGAIN!!!!"
5,"Safe, and EFFECTIVE","I recently gave up my major 20 year Diet Coke addiction.  I did it for a number of reasons.  I typically wake VERY early to hit the gym before work & needed something to help me wake up at 4:30 AM.  This product is GREAT.  No over-stimulation as it only has the caffeine equivalent of 1 cup of jo. It is also SUGAR FREE and has 0 Net Carbs!! I do feel the energy quickly & it lasts the 5 hours it claims.  The berry flavor is pleasant, but tart so I drink some water as a ""chaser"" (no pun intended).  I drink water the rest of the day & only use 1 in the morning unless I have a ""late"" meeting scheduled."
4,Order fulfillment/warehouse problems?,"The product I ordered was fine; the price, vis-a-vis supermarket, was excellent! Delivery time, great.<br /><br />BUT what I ordered was a 6-units-for-the-price grocery thing. What I got was a single unit, NOT the 6.<br /><br />When I called about this, the mistake was corrected immediately, so that was good. And I got to keep the single unit I received FREE. That was nice.<br /><br />Still, you may have a picking-and-packing problem in the dog-treat division. Any ideas on how to avoid this? The order form doesn't supply any alert mechanism. SO I GUESS THE PICKER JUST HAS TO READ THE ORDER MORE CAREFULLY?"
4,Very good salt for a very good price,"I'll certainly be a repeat customer. I had a tough time finding large salt crystals to refill a grinder, but this fit the bill nicely.<br /><br />Flavor is clean with slight minerality. The color is not a deep as some other himalayan pink I've seen, but it's a very good finishing salt, and a good conversation piece when put on the table in a clear grinder.<br /><br />Also, the seller included a coupon for a future purchase in the package, which was a nice bonus."
5,Healty choice and kids love 'em!,"I used to make a trip to Whole Foods every few months to stock up on these, but it was much easier and cheaper with Amazon.  My 4 year old loves these bunnies and my husband takes a box to work!  This is the tastiest fiber filled cracker and HELLO they are disguised as cute bunnies!"
4,Pretty good if you like the flavor.,"Vitamin Squeeze was very easy to use.  It gives you Vitamin C with no calories.  The mixture uses sucralose as the sweetener.  As with most artificial sweeteners, it may or may not trigger your bitter taste buds.  For me, it was also hard to get the right amount of sweetness:  It was either too light or too sweet.  If you can get the flavor right, then this is the energy drink for you."
5,Choolate Jacalat Larabars Rule,"These bars are decadent and good for you.  My husband and I are trying to eat ""closer to the earth,"" so we really like the fact that there are very few ingredients and NO added sugar.  Sure, they are expensive, but certainly bakery cookies and specialty cupcakes would cost a lot more.  This (along with almonds) is my snacking/dessert go-to item, and it's certainly cheaper than that syrup-laden latte I used to purchase daily."
5,Gloria Jeans Hazlenut kcups,"I love hazlenut coffee; and, these are the best!  I especially like it when I use the hazlenut creamers in it."
5,LOVE LOVE LOVE these cookies!!!!,"My family have a lot of food allergies and Nana's cookies are always a good snack... (except for the ginger... I am not a ginger fan.)  These are by far the best.  It taste like a brownie... very yummy.  Even my friends and family that don't have allegies love it.  I have no idea why someone gave it such a poor review... guess they are able to eat a snickers bar.  And calorie wise, it's not that bad... heck of a lot better then other cookies.  I would totally recomend these.  My 2 month old loves them and so do I and my husband.  5 stars!!!"
5,I found the best price on these!,"Purchase them directly from the manufacturer and look for an online coupon.<br />Btw, I Love these. . . .  maybe its because I lived in Japan for 3 years .. . the ones at the grocery are made from soy/tofu (not good for me) so they are not an option.<br /><br />The customer service from this company is sterling.  And the price is great for the 30 pack bought directly from them esp. with the online coupon."
5,Mussini Balsamic Glaze,"Delicious drizzled with olive oil on veggies & salads. Nice syrupy flow. Ingredients listed are: cooked grape must, 39% Balsamic vinegar of Modena (wine vinegar, cooked grape must), sugar, modified starch. Like that there are few ingredients, with grape must and Balsamic vinegar of Modeda (39%-would higher be better?) being the top 2."
5,best dog toy we've found,"Bought one of these 3 years ago for our 2 dogs, one a Labrador and the other a 40 lb mutt.  It was intact until a few months ago when they finally tore it and killed the last squeaker.  Out of the hundreds of toys we have bought them we have found nothing that remotely compares to the durability of it, except for the hard  solid rubber toys and the dogs don't seem as interested in those. We've look in a variety of stores for a replacement and have had no luck.  I'm buying 2."
5,Perfect for a pinata,"Bought these to help fill a pinata, all the kids went crazy for them.  Each was individually wrapped well and candy was fresh. I would definitely purchase them again."
1,My cat rejects it... :(,"...I am at my wits end... My cat only eats one single brand of food - Purina One, and only chunks with gravy. I have tried soooo many healthy, grain free, organic foods, and he just won't eat them. It is ridiculous..!! TikiCat and other brands contain such amazing ingredients...how can he not like those???<br />The last time I wanted to force him to eat the good stuff and didn't give him Purina for several days...he pooped on my bath rug..!! Should I just give up and keep buying the cheap stuff..?? Any advice from my dear fellow cat griends..?? I'd be very thankful..."
3,"OK, but not great","I live near Seattle and have drunk ""Pike's Place Roast"" at the Pike's Place location many times. So I know what a good cup of it tastes like. I'll also say that my expectations are higher for a k-cup that sells for a premium price.<br /><br />The coffee these k-cups makes is good, but not great. Even brewing the 6oz size, it is a little weak - far weaker than what is normal for this blend as made in a Starbucks. Why they didn't simply make this a ""Bold"" k-cup with more coffee grounds in it I can't say; but it would help. But if you like the stronger style of coffee Starbucks is known for, you'll be a bit disappointed. I don't plan to buy this again.<br /><br />So again, not bad, but nothing special. To my tastes, there are plenty of better k-cups for less money. Not worth the extra cost and a little on the weak side. I'm giving it three stars, but 2.5 stars would be about right."
5,LOVE THIS CEREAL!,i grew up on this and still love as  an adult. i have to restrain myself from eating the whole box in a day. i am going to order in bulk from amazon for cost savings. buying cereal from the supermarket is pricey.
5,The best cup of coffee that I've brewed at home.,"I typically prefer espresso when I drink coffee beverages. However, when my in-laws bought me the Keurig I decided to start drinking regular coffee. I enjoy Breakfast Blend because it is a rich, smooth coffee without being too acidic. I can make iced coffee out of it and it doesn't get too watered down or lose it's flavor (assuming I wait about 15 minutes after brewing for the coffee to cool before pouring it over ice)."
5,Very delicious,"The dried cherries are very delicious. They have a great balance of tartness and sweetness. They have just the right level of moisture. Great for snacking or adding to recipes. Also fairly healthy, a great alternative to fruit snacks."
1,"Tastes like plastic, waste of money","These cups are not worth the minor convenience they provide.  The hot chocolate tastes like plastic... I can only assume it's a result of hot water hitting the plastic of the cup.  (Maybe the coffee ones don't give off this foul taste because of the filter inside?  I don't know.)  I can't even finish using the cups in the intended way; rather, I have taken to peeling off the foil, dumping the mix into my mug, and running a cycle of just water through the Keurig.  Nearly as simple, without the nasty taste.  I won't be buying these again.  I'll stick to using the normal packets and running aforementioned cycle of just water.<br /><br />Don't waste your money."
4,Loveley & Soothing,"This tea is very good.  The flavor is great and it's quite calming and soothing, especially in a nice bubble bath after a rough day!"
5,Best source of omega 3 and 6,"Besides being the best source of omega 3 and omega 6, it just tastes so good. I'm a vegetarian and had tried flax seed oil, but that tasted so bad i had to stop. So i do eat eggs from time to time so i get some omegas from that source. But when i started looking on the net for another source of omegas i read an article by Dr Andrew Weil [...] that told of hemp oil having the perfect balance of omegas (1 to 3 of omega 3 to omega 6). So i decided to try it. Now i use it on toast instead of anything else. And some on my daily salad. It has a great light nutty flavor. And i just heard that omegas are a blood thinner in case you need that in your life. To sum up, if you are a vegetarian or vegan and want a great source of omegas, get some hemp seed oil. Nutiva brand in the 24oz at amazon seems to be the best price i have found around and i have been eating this for a few years now, and its organic to boot. Grown and processed in Canada which, unlike the silly US, allows hemp to be grown for food, paper and other products. Enjoy and be healthy!"
5,THE BEST POP ROCKS EVER,"POP ROCKS 36 packs Strawberry Sold by candymachines/<br />Penguinmints Thru Amazon, & Free Super Saving Shipping...<br />  They are so fresh & they Definitely pop great<br />in your mouth, & they taste great also.. YUM, YUM..<a href=""http://www.amazon.com/gp/product/B00155UY3W"">Pop Rocks 36 Packs Strawberry</a>"
5,Amazing coffee,This is my favorite coffee. I use it in my bialetti and it makes great espresso. Full and rich flavor. Somewhat hard to find in stores so u always buy on amazon.
1,"Penut Butter was very dry, couldn't even finish one!","These eggs are my favorite & I thought ordering them close to Easter (just a week or so after) they would still be nice & soft. The chocolate is a bit waxy on these anyway, but the peanut butter in these were so dry it was crumbling all over the place when I took a bite. I tried opening another one & it was exactly the same. Disappointing that these can't be returned but understandable."
5,Three ingredients - these are amazing!,I love Lara Bars - all of them.  It's amazing that they have so few ingredients but taste so good.  I even like the chocolate Lara Bars better than a real chocolate bar ... plus you get good nutrition from these bars and don't have to worry about strange ingredients or additives.  My husband and I buy these 4 cases at a time ...
4,GoPicnic meals come in handy...,"I like the concept of the GoPicnic ready-to-eat meals. They're a more healthy alternative compared to some ready-to-eat meals I see in the grocery store; another plus is they don't need refrigeration. I've purchased their SunnyBreak & ExploreMunch: Turkey Stick & Cheese 6-Pack for long car trips. We never eat them as a whole meal but pass around the box & pick what we want to snack on.<br /><br />GoPicnic meals are put together with a lot of thought, quality ingredients & quality products.  The salmon & crackers balanced meal contains 410 calories and 11 gr. of fiber, 22gr of protein; sodium content is 660mg or 28% of your daily requirement.<br /><br />Flavor & other info:<br />Chili Lime Salmon Spread: The taste of the salmon is not overpowered by the mild, spicy chili/lime spread. So, if you don't like the taste of fish, you won't want to purchase this. Getting back to the spicy flavor: it's not very spicy at all, which I prefer. If your taste buds prefer the 'crazy hot' spicy food that's so popular today, this will probably seem bland to you. Some of the ingredients in this spread: pink Alaskan salmon, red pepper paste, sugar, lime juice, vinegar, garlic powder & spices.<br /><br />Dry Roasted Edamame: These lightly salted, dry roasted green soybeans are crunchy with good flavor. Containing 130 calories, 8gr fiber, 14gr protein & 150mg/6% sodium it's a healthy addition to this meal.<br /><br />Late July Organic Classic Rich Crackers: These are very good, with a light, buttery taste. At 90 calories, 210mg/9% sodium they're on par with the average cracker...but these are organic and prepared with healthier ingredients & taste better than many other crackers.<br /><br />Ginger Zip: Contains ginger peanuts, cranberries & banana chips; similar to a trail mix, it's good, fresh & crispy.<br /><br />Terra Nostra Organic Robust Dark 60% Cacao: This dark chocolate doesn't taste as bitter to me as others. I'm not a fan of dark chocolate, but it's good for you...and this tastes better than some & it's organic.<br /><br />All in all, this is a great meal to take with you on a long car trip, an outdoor outing or even something quick to pack for your lunch.  It also has a fork and a Sudoku puzzle...so don't forget to bring a drink with you and a pencil with an eraser for the puzzle."
3,ew,These smell really good but after cooking with them i am not impressed.  The chicken one is disgusting.  I like the glass bottles and the price.. this has a good selection but a couple weird ones you wont use often.  Not my fav.  Ill reuse the glass bottles to make my own rubs.
5,Awesome veggie snacki,"I absolutely love this stuff -- the mesquite lime flavor is sweet, spicy and tangy, and the consistency of the jerky is chewy yet moist. At 74 calories and 10 grams of cholesterol-free meatless protein, you can't beat it as a snack."
4,Can't Believe This Is Sugar Free!,"While this Cider is sugar free, I wouldn't know it unless I saw the packaging.  It's still a little too sweet for my liking, but that's just me (hence 4 stars instead of 5).  I brew it with 10 oz of water instead of 8 to help with the sweetness.  And for the price, you can't hardly beat it!"
5,Great food for cats or kittens with sensitive stomachs or food allergies,"My 9 month old kitten has had trouble with diarrhea since we got him and it doesn't seem to have a medical cause, he either has a food allergy or just a sensitive stomach. We gradually switched him to this food about 3 weeks ago and have had good success with it. The diarrhea has stopped and he really seems to like this food. I did a slow switch, adding small amounts to the dry food he had been eating and eventually feeding him 100% Natural Balance. We're very happy with how well this food has worked for our cat and plan to keep him on it. The nutrition content is excellent and for a premium food, the price is quite reasonable. I'd rather pay for a quality food like this and have a healthy cat than buy a poor quality cheap food and end up spending more in vet bills. My kitten's coat is very shiny and soft, his weight is perfect and even my other cat, a very picky eater, likes this food. I like the limited ingredients in this formula which is great for cats that might have allergies or be sensitive to the ingredients in other foods. Overall, I'm thrilled I found this food and my kitty is too!"
2,not happy,"When i read that these were ""long lasting"" i was hoping for a chew that would take my take more than 2 minutes for my 9 month old chocolate lab and 9 year old lab to chew. Not happy with this nylabone purchase!"
5,Wonderful Surprise,"I first bought this product at my local supermarket, but they hardly ever had them in stock so I came on here looking for them.  Not only are they delicious, but they did something I didn't expect.  I had heard that walnuts are good for cholesterol, but I was shocked at how good they are.  I've struggled with my LDL for years and I don't want to take medicine.  I did nothing at all to change my diet and exercise routine except to add a handful of these walnuts every day - and my cholesterol was better than ever.  My LDL went down.  This is no coincidence as I have my numbers checked every 3 months without fail and this was the best set of test results that I've ever had.  It's nice that something that tastes so great is also good for you!"
4,Very Good popcorn,"My only gripe is it did not come vacuum sealed or with a safety seal.<br />Not that I think any one can mess with popcorn, BUT, the lid is large, so I put the jar on its side (I tilted it while opening) and popcorn came spilling out all over the floor.<br />Almost every kernel pops. Overall, a very good product, but only as exciting as, well, popcorn can get."
5,thank you amazon,My husband is on a very restricted sodium diet and I have a lot of trouble finding salad dressing and marinades or making them and this fits perfectly into his diet and tastes terrific.  I use it to marinade chicken or meat and he puts it directly on his salads.<br />It is wonderful to find something that tastes so good and is so low in sodium.  That is not easy to do.<br />I will continue to order this even if he didn't have the restrictions.
3,No nitrites?  Look again.,"I try to stay away from buying any meats that contain nitrites and I specifically read carefully through the description of the Wild Ride jerky, and here's a direct quote: ""Wild Ride is made with all-natural ingredients with no preservatives, no MSG, and no nitrites.""<br /><br />We haven't tasted it yet, so I can't attest to that, but I was very disappointed to read in the ingredients list that it contains: ""Curing Salt (Salt, Sodium Nitrite).""<br /><br />No worries if your not concerned about nitrites, but if you are, just know this product DOES contain nitrites."
5,Very good taste,"These strawberry licorice wheels taste great but should not be confused with the original strawberry wheels I enjoyed so much in my youth. The taste and texture are completely different.<br /><br />The ones I remember from the 60's & 70's were made of a flat ribbonlike licorice rolled into a wheel; some even had a small jaw breaker type candy in the center.<br /><br />These are made of a somewhat oily 2 strand round shoestring licorice rolled into a wheel.<br /><br />Again, product tastes GREAT but......"
3,Cans too dented to open,"Many of the cans were too DENTED to open in our electric can opener.  These cans appear to be returns to the distributor from retail stores because they are too heavily damaged to be marketed.<br /><br />My best guess is this distributor is taking ten cans of product he would normally have to throw away, packing a couple normal cans with it and selling it on Amazon.<br /><br />EVEN the CENTER CANS in the carton were badly dented.  But the cans were excellently pack with air cushion bags all around.  Accordingly, they were NOT damaged during shipment to me.<br /><br />The rounds, which are actually more meat bally spherical than round, taste acceptable.  I didn't check the expiration date.<br /><br />Three stars because I like acceptable tasting meat substitues.<br /><br />It would be nice if Amazon inspected the distributor since this product is not being sold ""damaged"" but I see I'm not the only one reporting this problem."
5,Good Tea,I am just now getting into teas. I have had herbal teas in the past and they all tasted the same (to me) like drinking grass. Yuck! I recently bought this tea and can honestly say that I like it and will buy more. I personally add a little milk and some Stevia sweetener.  I also like the Jasmine tea they make.
5,Pumpkin Spice is back!!!,"Several years ago in a Target grocery aisle far, far away I found Maxwell House International Cafe Pumpkin Spice latte. (Formerly General Foods International Coffees. Remember the ""Jean Luc"" commercial? Yes, that stuff.) It was a limited edition flavor... it was on clearance... I bought all the tins that remained... even the one with the huge dent. This stuff was that good. Then it was gone and all I had left was a single empty tin to remind me that this flavor wasn't something I only imagined or conjured up in a dream. Now it is finally back! It has a different formula that becomes distinctly frothier but it tastes just as mmm, mmm good as I remember."
5,The best cocoa for making brownies,"If you are making brownies, this cocoa is far superior to any other brand.  Also great for making hot chocolate."
5,If You LOVE Velveeta Cheese...,"I was raised up in a family with no other cheese than Velveeta! I'm 63 years 'young' now...and have been enjoying this for years.<br />When I found it in here, and free shipping!...I immediately bought it, and have been a repeat customer.<br />If you love Velveeta Cheese, then this is something you're going to love! It's so much better than the powdered mixes that you need to add butter and milk to.<br />This has the thick, creamy mixture right in a sealed foil pouch. You cook the sheels, drain, and then stir in the pouch of cheese.<br />Nothing could be simpler! I actually don't drain off all the water, because the cheese sauce is so nice and thick ;-)<br />I'm on here today to buy another 12 boxes. A wonderful product for those of you that love Velveeta cheese!"
5,warning: addictive,"if you're a chocolate lover, and I am, you have to try this, it is sooooooooo good, warning though, you won't be able to stop with just one bite, before you've realize it you've consumed the whole bar."
4,love it,"This is the best canned coconut water i've found that wasn't sweeteend or full of preservatives.  Amazon has a decent price, especially with free shipping. I've recently discovered that my local ""fresh&easy"" market is selling them for 1.99/can, so even less than amazon if you happen to have one near you, you can save $.25/can and the wait for shipping."
5,Great plants and service,"All plants arrived in good shape and in just a few days after ordering.  I did receive a variety of plants in type, color, shape and size.  The included care information is very helpful and easy to understand.  I will order from this seller again!"
3,Tiny packs,"Mini is really the appropriate word.  You pay more for the packaging...better off to buy the bigger bags. What is in each packet is about the equivalent of two regular size gummi bears.  They taste great, but would recommend the larger bags unless you just want ""cute""."
5,Love this product!,My dog simply loves this mini naturals! I use them mainly to train with and it is super easy because my dog wants them so bad he'll do whatever I tell him!
5,I prefer the flavored,"Diamond Almonds<br />Almonds are a good source of magnesium. One ounce contain approximately 20% of the RDA for an adult recommended dietary allowance (RDA)<br />Recommended Dietary Allowance (RDA) the amounts of selected nutrients considered adequate to meet the known nutrient needs of healthy people. The RDA is based on scientific knowledge and has been presented by a committee of the Food and Nutrition Board (FNB) of the National Academy of Sciences (NAS). The Canadian equivalent is the Recommended Nutrient Intakes. RDA is generally accepted throughout the world as a valid source of information. At least 40 different nations have as well as organizations have published standards similar to the RDA.<br /><br />Magnesium is the fourth most abundant mineral in the body and is essential to good health. Approximately 50% of total body magnesium is found in bone. The other half is found predominantly inside cells of body tissues and organs. Only 1% of magnesium is found in blood, but the body works very hard to keep blood levels of magnesium constant.<br />Magnesium is needed for more than 300 biochemical reactions in the body. It helps maintain normal muscle and nerve function, keeps heart rhythm steady, supports a healthy immune system, and keeps bones strong. Magnesium also helps regulate blood sugar levels, promotes normal blood pressure, and is known to be involved in energy metabolism and protein synthesis. There is an increased interest in the role of magnesium in preventing and managing disorders such as hypertension, cardiovascular disease, and diabetes. Dietary magnesium is absorbed in the small intestines. Are you taking enough magnesium in the diet? The recommended daily allowance is 300mgs/day for men, 350mgs for women. Magnesium is extremely safe by mouth - too much simply causes diarrhea. Try increasing the amount of magnesium you take by mouth until it causes diarrhea, then reduce the dose slightly so it does not. This is called taking magnesium to bowel tolerance (just like using vitamin C to bowel tolerance.<br /><br />Almonds are a good source of Fiber.<br />One ounce contains approximately 12% of the RDA for an adult.<br />So, in summary, Almonds are a very healthy snack, so what's left to say?<br /><br />Two things:<br />1st be cautious about ""bowel tolerance"" or ""happy bowels"" if you prefer.<br />2nd Taste.  I realize that taste is a personal thing.  That's why they make chocolate, strawberry, and vanilla.<br /><br />Here's my current favorites""<br /><br /> 1st Blue Diamond Dark mint dark chocolate (reminds me of the chocolate mint Girl Scout Cookies with less sugar).<br /><br />2nd Blue diamond Dark Chocolate Oven Roasted<br />3rd  Blue diamond Blue Butter Toffee<br />4thd Blue Diamond Almonds Bold Habanero BBQ (reminds me of  BBQ potato chips again with less sugar).<br />5th Bold Blazin Buffalo Wing<br />6th Blue Diamond Almonds Cinnamon Brown Sugar<br />7th  Blue Diamond Almonds Lime `n Chili<br />8th  Blue Diamond Almonds Smokehouse<br />9th  Bold Wasabi & Soy Sauce<br /><br />But that's just me: you might have a completely different take on these flavors.<br /> 4th  and 5th are very close.<br /><br />Gunner<br />May, 2012"
5,Delicious!,"My favorite of the Smart Fries flavors.  Vinegar taste, without eating away at your teeth, mouth and gums!  I have sensitive teeth, and love S&V chips, but can't handle too many at once due to the acid.  These are a great alternative."
5,world's best kraut,"Silver Floss is definitely the world's BEST sauerkraut! I first tasted it at a little hot dog stand in LaGrange Georgia (they have the world's best hot dogs there). I liked the kraut so much I broke down and ordered a case of it in June, and I've already eaten half of it. I've eaten it with hot dogs, brats,and ribs, but I've eaten a lot of it by itself. It's great cold, but heating it makes it even better."
5,Jamica Me Crazy.....So Good!,"I was surprised to find out the coffee from my sampler had coconut in it.  I bought a sampler of k-cups to try different flavors and would sit aside the ones that I liked to order in the future.<br /><br />After drinking Jamaica Me Crazy not realizing the ingredients just knowing I liked it.  When ordering, reading through the reviews realized it had coconut in it and that was what made the taste so yummy, leaving me wanting more.  I was hesitant to buy but decided to go for it and am really glad I did.  Everyone I have shared my coffee surprise with loves it too."
1,NASTY!!!!!,"This is horrible tasting coffee! I have been pleased with all the flavors I have tried so far, but this is not one of them!!!"
5,Have always loved these...,"Have always loved these...Snackwell's Devil's Food Cookies, 6.75-Ounce Boxes (Pack of 12)  But now on Weight Watchers these are ONLY one point each....so Now they are my favorite!"
5,Great service!,I love this lemon ginger tea. It has a rich flavor. I have found no other brand that compares!
1,Extremely Disappointed,"I emailed customer service and asked if the treats were filled with sweet potato, and they assured me that they'd checked with the manufacturer and confirmed that they did in fact have a sweet potato center.  However, the ones I received did not and I feel like I was lied to by customer service because they didn't want to take the time to actually check into it."
5,Hearty!,"I found this when looking to upgrade my oatmeal. As expected this is MUCH heartier than regular oats. I used the microwave to nuke a small portion of this and the grains retain a lot of texture; they don't melt into mush like oatmeal does. (But not TOO much texture. You won't be eating a bowl of grains/seeds). The flavor was very mild and I found adding a bit of dried cranberries, brown sugar, and splash of vanilla coconut milk made for a subtly sweet and filling breakfast! I enjoyed this mix much better than plain oatmeal. It's not as bland and boring. It's hearty and healthy without actually tasting like health food!"
5,Espresso roast,"Nothing really that I can add that has not been previously written.  I use it each morning for a cup of expresso.  Smooth, rich, delicious.  A bit pricey and yet well worth it.  It compares well with German espressos I grew to love while living there."
2,Unpleasant,"I wish I could say that this was good, however I found it very unpleasant and not very spicy (and I'm a liteweight).  It has an aftertaste to it that I could not get past and would not recommend this product."
5,Yum! times 10,"These are stunningly delicious.  If you heat them for a few seconds in the microwave (or take them along on a hot summer day's picnic), they're soft and chewy and addictive."
4,A great dark coffee,There are few Keurig coffees out there that are strong enough for me. This one clearly is with wonderful taste and smell. Amongst my favorites if you like black coffee.
5,oatmeal cookies,What happened to the oatmeal cookies. You've been out of stock for months. Are you getting them in? They are the best !
5,BEST SALAD DRESSING /MARINADE,KRAFTS SEVEN SEAS VIVA ITALIAN... IS THE BEST SALAD DRESSING AND MARINADE.... I'VE USED IT FOR 20 SOME YEARS... I'VE HAD A HARD TIME FINDING IT IN LOCAL STORES...I ORDERED TWO CASES...
5,"Excellent, authentic Japanese-style tea","This is a lovely, unsweetened, Japanese-style true green tea.  It is NOT your typical American tea with added corn syrup or sickeningly sweet artificial sweeteners, so if you are looking for a sweet tea you should skip it.  But it is a delicious, smooth, non-bitter green tea... and that is *very* hard to find outside of East Asia.<br /><br />My work takes me to Japan with some frequency, where I became a fan of conveniently bottled cool green teas.  This is the only tea I have found readily available in the U.S. that matches the quality and taste I expect in Japan. (Ito En is, after all, a Japanese company.)<br /><br />If you can't stand the oversweetened stuff that passes for bottled tea in North America and enjoy the taste of straight green tea, this product is probably a good fit for you."
